"","Logistic CAT","NEC CAT","Pw CAT","Logistic CONT","NEC CONT","Pw CONT"
"dataset1",40.6275369195973,89.131140989485,46.7067261018606,47.4509059656244,45.259561268611,52.8967931092812
"dataset2",45.1205310301242,150.768993818691,45.4454138924908,44.9891176325445,43.8466362855633,NA
"dataset3",45.2897482425965,42.0241224719297,53.9351039417966,42.5387873040823,132.293265759774,NA
"dataset4",56.6716225781025,54.0536177451716,61.5534360224185,36.923236250952,39.1158080254467,NA
"dataset5",48.5428399747507,151.965934232506,NA,48.209065354245,45.2517413864621,50.0381552049659
"dataset6",41.8137905555885,40.0844584791353,NA,50.4547229645367,132.001357934495,51.8393010217043
"dataset7",52.6828500839922,59.9907666164231,NA,48.4227950422144,48.0826356192196,48.1354177143946
"dataset8",50.8399866388518,49.0048093358489,57.5168824285675,47.2659124873509,44.7005139143012,50.3395444693651
"dataset9",44.6107912299363,44.5831407707504,NA,46.5593384107669,43.9202426597177,50.1013483456705
"dataset10",55.1272968912678,57.2365442703115,NA,50.389886733089,55.5531052844651,49.9903701259669
"dataset11",44.8335724940489,163.810616147011,NA,46.2617334671382,45.2395046974891,NA
"dataset12",58.1110742134518,57.3453601767067,60.7114141268198,38.22148320948,155.923524575634,38.6603200079447
"dataset13",50.4601742403036,48.4782672170464,59.9093900920151,42.6207642587663,131.2650350013,NA
"dataset14",55.1900406870864,62.0715806299785,54.2664566143642,47.5009454739873,44.9299327073459,NA
"dataset15",49.885560010931,144.876643556162,49.2543172943676,58.4959039058792,57.377606281345,NA
"dataset16",47.2932236513734,45.154691523499,51.1698156543497,45.8616365944906,42.5179482422587,50.9847033909427
"dataset17",52.0943400693559,49.6847101253648,60.5240498711057,47.903385793353,45.6500875237285,53.2346704061836
"dataset18",48.1168005352588,47.2644462708071,51.6169967097182,41.873265947237,82.1734985825526,41.7661353442087
"dataset19",47.9402846320883,46.4835129792205,55.6917223437668,50.9689355043718,48.8497209712235,53.3024577779188
"dataset20",37.9253663532348,81.1003583081283,44.8131237953991,46.5768053605149,137.850142681965,NA
"dataset21",42.938655987948,151.006093846332,47.5644641970456,45.5833283059079,49.8827239911679,45.5650429932649
"dataset22",42.869862560247,80.5592049546948,NA,45.4490602952248,44.2133829465859,47.191901309854
"dataset23",48.1464446604311,47.1755259907729,49.2778967609952,44.8290274596116,41.8798803046282,NA
"dataset24",54.4838298237938,55.1574907776689,53.7216448805418,57.280145959906,54.4368756011539,NA
"dataset25",45.2208853995003,45.3945261501173,NA,23.5249151053599,149.694014100982,39.1897322815639
"dataset26",57.3075418330112,57.2465148199084,NA,45.2800994892323,44.7659762894433,48.0160321757738
"dataset27",49.8860782526031,50.6753173704137,50.2267071757331,51.4077706866713,60.2574511149035,50.7789781009533
"dataset28",44.9243408670953,45.2159987057383,48.9276431435171,40.6988842349842,44.4009119335105,49.53814774456
"dataset29",53.7166138601358,52.7475923834696,54.7511189153352,38.0279429373898,35.528480260086,41.2647616779718
"dataset30",35.4647673672501,169.164369071492,34.1915455124289,46.5691670880444,154.086983928205,46.9926967680711
"dataset31",47.5030656804201,52.0403188509876,47.8803414574397,42.5698991690579,42.1845365889036,43.6925325057503
"dataset32",48.2608455627551,159.17664883429,58.6358325338036,45.3878785324747,43.939027084048,45.4664878996726
"dataset33",55.4297674540128,59.7274308710789,NA,53.96136391207,55.8765921936616,58.4516129476073
"dataset34",52.1696176686932,151.982514421287,53.594599225047,43.3175394041985,40.91867427003,44.1195760222721
"dataset35",47.5008372004303,172.120585187463,53.1655882248374,48.0042164890279,49.3582490000112,NA
"dataset36",52.7519058902842,52.8050537655069,NA,57.9265812439998,55.8511386497411,59.3290282067144
"dataset37",43.608365914654,166.148526054261,49.9205459215261,51.0287108370691,50.2738490021627,53.3966202219777
"dataset38",46.8394045620784,46.2856668838417,NA,46.0058214712212,46.1261917564898,47.5116216268408
"dataset39",59.2858551810966,59.4335178033022,63.9244602144006,60.7340635598398,58.0122395608753,NA
"dataset40",51.029849527411,166.13691776662,NA,42.5056699846684,42.5819887757927,45.6792558961172
"dataset41",47.4210403983001,52.8945337600037,NA,45.8014252549599,154.378891753396,NA
"dataset42",47.1908146592467,141.271719171123,47.5472726551594,38.8146509087503,37.5461433641606,NA
"dataset43",54.2385225687395,54.0620270847231,54.0953661171536,51.524099941148,147.959305651893,53.9506798566059
"dataset44",48.8041500255732,158.43620241031,48.3013404986392,46.2843235878311,45.0640131925438,47.3658583024982
"dataset45",54.3986875710165,54.9658700619402,64.7527656372043,47.6918112244883,48.15909548473,NA
"dataset46",40.465782949503,165.816876655533,54.6502700554564,42.5402396798012,61.4351166265836,42.2216044363446
"dataset47",46.5651830969492,163.067635972434,NA,37.889341790007,40.7537900654262,39.0686722908433
"dataset48",40.7781313748612,149.081909262843,NA,37.4605899116735,134.362355916689,37.4022418846161
"dataset49",47.8899938581584,47.2473901891946,50.9502313536818,44.2761705191414,58.7446825371004,48.2956691451696
"dataset50",52.7120020414015,53.9908012711378,61.5811393988932,53.0984562661179,49.5384997908159,53.051378646658
"dataset51",53.1602730833035,52.51656783569,NA,45.9543318006574,126.393215044504,43.5978629118697
"dataset52",48.4312536378137,150.067840877389,NA,49.191350110224,68.2110958532263,NA
"dataset53",54.2222347919672,55.8904783967263,52.5649007181124,49.6235570016877,48.0485949913644,55.1515274425125
"dataset54",53.7784332899309,164.128274298433,NA,34.3749763723973,35.090820996785,NA
"dataset55",45.8293117593792,145.148754145668,46.3158142235467,53.4773378563412,54.6768802457679,54.7670861475607
"dataset56",47.8239744143709,51.1663843795972,47.3710238077369,37.5946891439492,128.703197596383,NA
"dataset57",48.5981237531026,52.0521117197291,48.176610766531,44.8397476279597,41.7384326936955,NA
"dataset58",53.7339135263463,54.9585567372249,NA,59.4115613734997,57.733398962215,59.0915885444241
"dataset59",50.9937496511765,158.290731833638,52.1084110291836,41.1857696996332,152.639414239013,44.5991786239641
"dataset60",48.3936648882464,46.3200153542809,NA,56.3269749762258,53.5030821747455,56.4584094999849
"dataset61",36.4863869310285,153.954045989425,NA,42.6318849955011,41.1519085494936,43.0252948433214
"dataset62",56.3074816214085,138.604731144111,NA,42.9377339392677,138.911960571633,NA
"dataset63",48.7683281248087,50.2874242760688,NA,42.836847905023,159.766959095007,46.0902453331907
"dataset64",45.5196486080167,49.1542951456812,47.0515105640874,53.7305822445241,54.3182660919717,65.6753054656613
"dataset65",49.7383896468802,48.0636954604889,NA,47.6995642115809,47.2745515942915,49.7176714071759
"dataset66",46.471301478246,54.4647749064939,47.3938617289594,56.0908561744629,62.4031289674873,54.6321884723555
"dataset67",41.036133478713,148.033895174117,43.1925334868623,52.4469265114622,50.1541630182716,57.5069697329496
"dataset68",46.940344263889,48.7372158781969,NA,44.1193007699698,45.7453580527392,43.8126506043919
"dataset69",37.9041368663231,36.2451342718013,47.9319433839973,56.9955517791659,54.4399122091479,NA
"dataset70",44.1476837018693,152.603109238749,45.8186923230036,47.8033492442504,48.1116334011672,51.3734300998843
"dataset71",40.972581723479,39.5714777781164,45.4422903585772,56.1499956302252,53.9546248322933,NA
"dataset72",55.8738269911767,56.4647895400056,NA,56.4879501512656,54.8956225655478,NA
"dataset73",48.8846741855412,57.8643647455689,48.9150376006442,51.8095040371352,48.7565331679142,53.8644166844164
"dataset74",51.7978363273225,49.9901266865634,58.3198105858317,48.29930751454,46.0996360964704,51.1757293689832
"dataset75",41.0455181380228,89.1408032730866,40.8819196472279,49.9543984220802,47.592616599166,57.8115017009067
"dataset76",48.0110765900104,139.952716090852,NA,48.1018879617577,52.4121742678102,47.0964900083661
"dataset77",40.1943469075475,159.887747226074,36.3354363177971,53.3865777899202,62.0485935182026,NA
"dataset78",46.7096114728848,47.4472082451833,53.7306373697627,34.3635761322962,35.9593334557504,44.6031379305866
"dataset79",50.3958561913189,49.9661280977855,55.6146955788308,49.7739399828184,145.313782440823,NA
"dataset80",49.0648499138396,49.1391493110693,50.1550174559338,44.7507472800695,131.44352054524,47.2803444409368
"dataset81",51.067406859935,57.3273551546287,58.4065599870065,32.1408178227196,35.6127828703172,33.548053064548
"dataset82",54.7087365540088,52.7699438559105,NA,32.9862070235909,32.9894166894984,37.8569342573989
"dataset83",36.9718308779287,37.0535813578009,NA,45.1947161116411,148.276515711913,46.6379814268693
"dataset84",52.1535274178889,57.4094029854767,52.4830316182878,44.9944160151367,41.2469999733638,NA
"dataset85",49.3807458884044,49.0609336004755,61.1577425828634,43.2101547558964,44.507269563763,NA
"dataset86",45.756595634186,48.8256222576428,NA,51.33790471459,138.604731144089,57.1486336028804
"dataset87",53.7285855238544,53.961555415681,NA,49.4299975094722,48.6440143191014,NA
"dataset88",49.2502450269959,54.3584200670545,49.5803164046765,50.9263380341398,141.572627155876,50.1836651736819
"dataset89",28.9293189526618,89.7203054036661,34.663296069908,47.9948890449511,47.938693917748,53.3068535877923
"dataset90",58.4091937497094,56.6992502748236,64.4892758295747,49.035105338646,45.8856757262137,NA
"dataset91",47.6862265016986,167.413060778162,50.6928413329314,44.3415422864293,42.7721199045889,NA
"dataset92",41.6730079101433,39.9470290894303,52.7543690712244,38.8374544205083,35.6087781379227,44.5566280297329
"dataset93",41.692311099109,166.148528655522,48.0922227156585,47.9990424820839,44.1993695025603,53.8634328825999
"dataset94",38.4240876336814,41.4134925959869,NA,50.9935465168542,48.0338092572021,51.8579536551666
"dataset95",52.8275949144406,52.5472899037587,NA,56.403685310774,58.8446391029033,60.0898206217785
"dataset96",44.4116362014095,166.136917766878,50.3930588084917,55.3351032862663,52.0661286845924,57.2464919776989
"dataset97",46.3977342802367,46.969717821803,46.2366862548827,50.7151875480343,49.8818001133091,51.1569781054147
"dataset98",53.1901949580876,51.719002554796,58.0274931101339,46.9757081141212,50.6948568604428,46.6563610629504
"dataset99",63.6131673661016,62.0146887865852,68.6619625158895,50.8961043160224,48.6794067211947,NA
"dataset100",51.5612094314888,52.673003588736,NA,46.5595854195245,46.8720733788349,48.8388575695569
"dataset101",40.6100180607887,67.1722097875399,37.8729298461487,47.8244760226601,46.4762359161409,NA
"dataset102",39.4913716153695,47.8635117682172,44.1511894106757,43.7826122959306,45.7757379404148,46.0303077755814
"dataset103",45.9351537936465,44.324497537585,54.9957485808371,32.2832796390681,67.227998530173,33.587616837785
"dataset104",45.9093646513086,162.880625880517,51.1029950739421,45.1351811214902,133.187558808953,45.2782392868818
"dataset105",29.5475547840119,29.5078213110976,41.1782221040145,41.975368084594,38.9452474536885,44.8795955616905
"dataset106",51.2348652044686,51.1692566528223,53.0156935287129,41.05285644192,148.634437294955,42.0188772149172
"dataset107",50.4868516946225,50.3101957233426,66.4597064296332,55.0957752223228,57.1689223519571,NA
"dataset108",61.7145073240437,62.9643947198396,67.9503807582194,42.597908777472,39.7256357476889,43.5206516053224
"dataset109",42.5746699978418,77.5271021473158,43.8790626772505,41.3611658196602,37.8441631911884,48.300156002969
"dataset110",49.6893851748708,46.4976339122207,NA,42.7430284045225,144.216138836882,41.3875676849797
"dataset111",38.1897571664464,38.3255206504682,41.8091114369577,37.2373037543198,150.669826826126,NA
"dataset112",49.6906661319256,153.322436335223,NA,48.6882911799988,44.8985276780405,NA
"dataset113",43.9327574973197,45.7446191309857,48.6303129259846,39.03634321838,38.1183353473618,NA
"dataset114",52.4994719762546,49.000142208366,61.9573213625946,57.071842367538,58.5074397421916,58.4568985643093
"dataset115",47.1588186635871,138.387694201386,51.9825748446031,38.7640642684418,34.9538298989412,NA
"dataset116",49.0125740282005,47.0162164775629,58.2456257346354,46.2888963593872,44.4074734517987,NA
"dataset117",40.6514180353701,62.8789826108769,40.7153739305381,53.7425773306216,52.4418212901569,NA
"dataset118",44.1429165678599,45.8680414389881,47.1531457976342,51.9892186415455,155.940982150791,53.7447233763146
"dataset119",45.97960524429,153.525646201683,NA,40.2913418633303,39.2404651816391,46.6794757333732
"dataset120",48.4880687067682,45.6035650879905,50.8944919371078,56.6699255088551,53.3661039453764,59.2439447311708
"dataset121",44.8466605513833,135.342065485279,NA,45.5717178004933,153.921460655058,47.0195012369223
"dataset122",46.5849103012827,166.035385351319,48.6615526071807,53.9946579446319,53.5371095644836,57.8462275629431
"dataset123",49.9588199640377,50.3652166687719,49.9400186769137,57.1816818368135,57.1746974793191,NA
"dataset124",41.2155734401359,161.178712754735,43.8633398132897,44.034262708122,143.137166042148,43.2107983229128
"dataset125",59.9840389906767,156.201487755582,NA,51.0280960571099,53.2091569100905,58.5833284749864
"dataset126",44.4891733977544,44.5926183210545,45.9939157939718,54.0624325968313,50.6999354569161,58.9379958922813
"dataset127",56.28331644296,54.6812368146715,61.704004976901,43.3605557297155,42.8688857676524,47.272097886357
"dataset128",51.5982086498761,51.8212794659253,52.0607705146633,40.4988439238355,159.056797227719,41.1690317244677
"dataset129",48.0282917637316,45.4559446397622,56.0937851482114,51.1952679375188,50.1087432998963,59.7506835691639
"dataset130",43.4544595868403,42.3135323341063,NA,52.3012392315336,49.6698298268787,NA
"dataset131",40.2513911679382,85.3037948043267,NA,44.6515865990787,44.5326112714451,45.4525850825732
"dataset132",41.751563351091,163.197835940861,42.6662584531138,39.8138549748515,157.651138246349,46.2908337393213
"dataset133",54.8630510452718,55.0050276782849,55.0322801649827,50.2523516348384,52.2750231946347,NA
"dataset134",35.9907416304901,97.5367937979844,39.447210573718,55.1742358773873,54.3283637396313,56.7287496917503
"dataset135",44.779898309303,147.59803457343,NA,60.3601585856461,75.7307928266201,NA
"dataset136",54.4824632373609,52.6738950372114,NA,37.9499394057638,78.3828605539671,NA
"dataset137",56.5566245164115,54.9069175113134,NA,48.699208032188,48.3026581352912,NA
"dataset138",51.6101485512079,160.966573387447,51.8820003613184,50.3892170174549,47.2212697329565,52.5443980005202
"dataset139",55.7921751783799,52.7485967025161,64.5856486060332,39.1020074834638,37.2648078605023,41.8639082112101
"dataset140",56.2774599717768,161.947045016113,59.9753186060967,131.528957684073,48.9754754962064,NA
"dataset141",49.7966511658566,169.893655298712,55.6448381093423,47.114565790942,46.4050427996509,46.7875141367302
"dataset142",39.9659104236977,84.1124676294349,46.8463396448587,50.9179516951249,49.33859416946,53.797657983611
"dataset143",36.897451444035,35.818089228798,NA,55.4503560095518,52.332777425799,58.5221870179544
"dataset144",58.594272642502,57.4378676482116,63.9643765136456,50.753483404531,51.5562451140752,55.2742487806822
"dataset145",51.8263534128112,148.239482332679,57.5711040629832,48.026611422497,147.150562605611,50.6731586164213
"dataset146",54.5929985304326,55.1271582241179,55.891289705953,36.7367283188538,35.5279986751308,39.8093337106914
"dataset147",50.6271257972181,50.6488522004822,NA,47.5114097875621,47.9768384311515,48.6733590502039
"dataset148",45.8355503206956,45.1150326758979,50.4866896386372,51.1609131984424,50.7274272136487,54.7465208201505
"dataset149",53.9304346496234,53.2229377187605,57.7737520442875,39.1031792433148,79.0672215842841,39.6246084980037
