"","Est.","CI(95%).Lower","CI(95%).Upper"
"dataset1",1.206,-1.189,3.601
"dataset2",12.22,10.73,13.7
"dataset3",7.176,5.535,8.818
"dataset4",11.44,10.2,12.68
"dataset5",1.665,-0.633,3.964
"dataset6",12.5,11.24,13.75
"dataset7",12.48,10.89,14.08
"dataset8",10.87,9.63,12.12
"dataset9",1.038,-1.327,3.403
"dataset10",12.22,10.73,13.7
"dataset11",6.259,4.633,7.884
"dataset12",8.73,7.36,10.1
"dataset13",6.327,4.8,7.854
"dataset14",6.305,3.796,8.813
"dataset15",1.199,-1.2,3.597
"dataset16",11.77,10.27,13.28
"dataset17",13.25,11.96,14.53
"dataset18",6.301,4.753,7.849
"dataset19",9.295,7.813,10.78
"dataset20",2.187,-0.1332,4.508
"dataset21",16.06,14.7,17.41
"dataset22",6.16,3.715,8.605
"dataset23",1.239,-1.111,3.589
"dataset24",9.989,8.522,11.46
"dataset25",1.506,-0.8944,3.906
"dataset26",6.147,4.259,8.036
"dataset27",6.245,4.472,8.018
"dataset28",1.108,-1.215,3.432
"dataset29",8.972,7.476,10.47
"dataset30",12.45,11.06,13.84
"dataset31",24.94,23.73,26.15
"dataset32",6.024,4.16,7.888
"dataset33",1.292,-1.01,3.595
"dataset34",1.167,-1.207,3.541
"dataset35",1.37,-0.9497,3.69
"dataset36",12.5,11.07,13.94
"dataset37",12.48,11,13.96
"dataset38",4.65,2.327,6.972
"dataset39",1.033,-1.324,3.39
"dataset40",2.498,0.181,4.815
"dataset41",20.91,19.43,22.39
"dataset42",6.242,4.646,7.839
"dataset43",1.539,-0.7777,3.855
"dataset44",3.88,2.121,5.638
"dataset45",5.956,4.129,7.783
"dataset46",12.49,10.92,14.06
"dataset47",4.695,2.277,7.112
"dataset48",2.866,0.4631,5.269
"dataset49",2.028,-0.3696,4.426
"dataset50",1.14,-1.153,3.434
"dataset51",6.289,4.697,7.88
"dataset52",21.9,19.86,23.94
"dataset53",8.771,7.386,10.15
"dataset54",12.47,11.24,13.71
"dataset55",11.14,9.109,13.17
"dataset56",1.233,-1.084,3.551
"dataset57",1.007,-1.322,3.336
"dataset58",6.173,4.394,7.953
"dataset59",1.551,-0.7507,3.853
"dataset60",19.67,18.09,21.25
"dataset61",2.874,0.4547,5.293
"dataset62",6.453,3.908,8.997
"dataset63",1.189,-1.227,3.606
"dataset64",15.61,14.17,17.05
"dataset65",6.256,4.925,7.587
"dataset66",6.553,5.308,7.798
"dataset67",6.241,3.818,8.664
"dataset68",1.516,-0.8987,3.931
"dataset69",12.56,11.04,14.09
"dataset70",6.368,5.03,7.706
"dataset71",15,13.63,16.37
"dataset72",2.643,0.3399,4.946
"dataset73",18.97,17.4,20.55
"dataset74",10.03,8.341,11.72
"dataset75",6.219,3.742,8.695
"dataset76",6.695,5.047,8.344
"dataset77",6.254,4.813,7.695
"dataset78",1.519,-0.8077,3.845
"dataset79",17.69,15.97,19.4
"dataset80",1.435,-0.9342,3.804
"dataset81",21.17,19.94,22.4
"dataset82",10.04,8.341,11.74
"dataset83",17.67,16.31,19.04
"dataset84",2.248,-0.1757,4.672
"dataset85",6.257,4.589,7.926
"dataset86",6.246,4.756,7.737
"dataset87",14.66,13.39,15.93
"dataset88",2.821,0.4265,5.216
"dataset89",16.1,14.36,17.83
"dataset90",1.058,-1.235,3.351
"dataset91",6.139,3.698,8.58
"dataset92",6.316,4.66,7.972
"dataset93",6.676,5.05,8.303
"dataset94",6.263,4.939,7.587
"dataset95",12.5,10.95,14.04
"dataset96",12.43,11.05,13.8
"dataset97",12.48,11.01,13.96
"dataset98",3.511,1.12,5.901
"dataset99",6.256,3.742,8.77
"dataset100",1.176,-0.5328,2.884
"dataset101",7.202,5.745,8.659
"dataset102",1.01,-0.7128,2.733
"dataset103",1.29,-1.035,3.615
"dataset104",6.23,4.434,8.026
"dataset105",1.417,-0.9133,3.748
"dataset106",1.043,-1.322,3.408
"dataset107",6.841,5.128,8.554
"dataset108",1.042,-1.262,3.346
"dataset109",6.175,4.664,7.686
"dataset110",12.54,10.89,14.18
"dataset111",4.505,2.216,6.794
"dataset112",6.106,4.237,7.975
"dataset113",6.209,4.686,7.732
"dataset114",6.128,4.527,7.729
"dataset115",6.153,4.636,7.671
"dataset116",1.213,-1.151,3.577
"dataset117",8.502,6.494,10.51
"dataset118",6.218,4.448,7.988
"dataset119",6.159,3.706,8.612
"dataset120",14.91,12.96,16.85
"dataset121",6.283,4.352,8.214
"dataset122",4.643,2.88,6.405
"dataset123",6.469,5.08,7.859
"dataset124",10.09,8.461,11.71
"dataset125",18.54,16.95,20.14
"dataset126",1.077,-0.6868,2.841
"dataset127",4.711,2.951,6.471
"dataset128",2.648,0.3288,4.968
"dataset129",14.69,13.02,16.36
"dataset130",6.212,4.451,7.974
"dataset131",6.121,4.26,7.983
"dataset132",1.597,-0.7098,3.903
"dataset133",14.48,13.11,15.86
"dataset134",6.206,4.674,7.737
"dataset135",4.477,2.72,6.233
"dataset136",12.69,11.29,14.09
"dataset137",2.55,0.1663,4.934
"dataset138",3.588,1.292,5.885
"dataset139",6.255,4.859,7.651
"dataset140",5.95,4.174,7.726
"dataset141",3.331,0.9102,5.752
"dataset142",1.27,-1.056,3.596
"dataset143",6.235,4.67,7.801
"dataset144",19.73,17.92,21.53
"dataset145",6.103,4.589,7.616
"dataset146",12.22,10.73,13.7
"dataset147",6.255,4.638,7.872
"dataset148",12.65,11.36,13.95
"dataset149",12.34,11.03,13.65
"dataset150",1.882,-0.4976,4.263
"dataset151",3.534,1.761,5.306
"dataset152",3.747,1.463,6.031
"dataset153",13.73,12.33,15.13
"dataset154",12.55,10.77,14.33
"dataset155",4.855,3.101,6.608
"dataset156",3.16,1.394,4.927
"dataset157",3.131,0.8125,5.45
"dataset158",2.434,0.1222,4.746
"dataset159",6.256,4.639,7.873
"dataset160",1.17,-1.161,3.502
"dataset161",7.103,5.659,8.547
"dataset162",1.25,-0.5163,3.016
"dataset163",4.245,1.938,6.553
"dataset164",5.534,3.747,7.32
"dataset165",12.5,11.29,13.71
"dataset166",1.049,-1.319,3.418
"dataset167",3.715,1.428,6.003
"dataset168",1.496,-0.2703,3.263
"dataset169",5.362,3.606,7.119
"dataset170",1.072,-1.286,3.431
"dataset171",12.46,10.8,14.13
"dataset172",2.947,1.158,4.736
"dataset173",12.51,10.77,14.26
"dataset174",1.296,-1.089,3.68
"dataset175",6.269,4.84,7.698
"dataset176",6.022,4.252,7.792
"dataset177",12.22,10.73,13.7
"dataset178",6.277,4.598,7.957
"dataset179",9.397,8.059,10.73
"dataset180",10.11,8.433,11.8
"dataset181",8.115,6.413,9.818
"dataset182",6.249,4.754,7.745
"dataset183",5.144,3.39,6.897
"dataset184",6.329,4.776,7.882
"dataset185",12.59,11.03,14.14
"dataset186",6.178,4.377,7.978
"dataset187",6.241,4.356,8.126
"dataset188",10.16,8.926,11.39
"dataset189",6.163,4.634,7.693
"dataset190",12.99,11.63,14.35
"dataset191",12.46,11.1,13.81
"dataset192",6.162,4.364,7.959
"dataset193",2.149,0.3826,3.916
"dataset194",5.11,2.686,7.534
"dataset195",10.16,8.709,11.61
"dataset196",10.18,8.699,11.67
"dataset197",14.31,12.7,15.93
"dataset198",11.67,10.33,13.01
"dataset199",3.711,1.305,6.116
"dataset200",1.302,-1.035,3.639
"dataset201",5.912,4.341,7.484
"dataset202",5.576,3.154,7.998
"dataset203",9.088,7.598,10.58
"dataset204",5.464,3.025,7.903
"dataset205",12.42,10.69,14.15
"dataset206",12.62,10.98,14.27
"dataset207",6.143,4.357,7.93
"dataset208",6.187,4.423,7.951
"dataset209",2.94,0.6224,5.258
"dataset210",6.239,4.466,8.012
"dataset211",6.244,4.701,7.787
"dataset212",6.319,4.881,7.757
"dataset213",6.346,4.928,7.764
"dataset214",2.406,-0.008241,4.819
"dataset215",12.51,11.13,13.89
"dataset216",3.201,0.8009,5.6
"dataset217",6.202,4.283,8.12
"dataset218",2.379,-0.01832,4.777
"dataset219",1.322,-1.009,3.653
"dataset220",24.85,23.51,26.19
"dataset221",6.348,4.983,7.714
"dataset222",2.447,0.68,4.214
"dataset223",6.316,4.432,8.201
"dataset224",6.114,4.602,7.627
"dataset225",1.601,-0.6871,3.888
"dataset226",1.032,-1.332,3.396
"dataset227",12.78,11.38,14.19
"dataset228",6.247,4.437,8.057
"dataset229",12.37,11.16,13.59
"dataset230",6.213,4.453,7.972
"dataset231",7.097,5.59,8.603
"dataset232",1.079,-1.264,3.423
"dataset233",2.136,-0.1875,4.459
"dataset234",16.13,13.55,18.7
"dataset235",1.884,0.1178,3.65
"dataset236",12.47,11.11,13.82
"dataset237",7.22,5.222,9.218
"dataset238",6.166,4.629,7.704
"dataset239",6.253,4.82,7.687
"dataset240",3.331,0.9102,5.752
"dataset241",2.332,0.5782,4.086
"dataset242",7.855,6.402,9.307
