"","Est.","CI(95%).Lower","CI(95%).Upper"
"1",6.528,4.939,8.117
"2",13.51,12.06,14.97
"3",1.03,-1.304,3.365
"4",9.859,8.467,11.25
"5",4.994,3.178,6.81
"6",14.34,12.96,15.71
"7",12.52,11.16,13.89
"8",9.927,8.287,11.57
"9",5.038,3.475,6.602
"10",37.08,34.92,39.24
"11",7.899,6.512,9.286
"12",18.03,16.53,19.54
"13",6.304,4.665,7.944
"14",7.451,5.828,9.073
"15",3.907,2.11,5.704
"16",3.904,2.149,5.66
"17",7.291,5.666,8.915
"18",14.41,12.5,16.33
"19",12.52,10.9,14.13
"20",9.901,8.333,11.47
"21",7.732,6.109,9.354
"22",1.285,-1.011,3.581
"23",5.069,3.208,6.929
"24",12.48,11.06,13.91
"25",7.925,6.637,9.213
"26",1.424,-0.3348,3.182
"27",4.972,3.453,6.491
"28",2.695,0.3034,5.087
"29",10.53,8.929,12.14
"30",2.881,0.5275,5.235
"31",4.799,2.986,6.611
"32",7.849,5.907,9.791
"33",7.965,5.977,9.953
"34",4.957,2.487,7.426
"35",14.09,12.67,15.51
"36",2.976,0.5832,5.368
"37",6.314,4.734,7.894
"38",12.57,10.42,14.71
"39",7.901,6.55,9.253
"40",4.101,2.291,5.911
"41",15.7,14.46,16.94
"42",9.895,8.12,11.67
"43",2.83,0.4241,5.237
"44",9.891,8.104,11.68
"45",1.429,-0.8556,3.714
"46",15.34,14.08,16.59
"47",2.049,-0.269,4.366
"48",11.2,9.724,12.67
"49",1.523,-0.7958,3.843
"50",5.188,3.642,6.733
"51",15.69,14.45,16.94
"52",3.759,1.996,5.523
"53",9.89,8.475,11.31
"54",2.146,-0.168,4.46
"55",17.56,16.14,18.97
"56",9.893,7.865,11.92
"57",12.49,10.83,14.15
"58",6.298,4.719,7.877
"59",3.893,2.367,5.418
"60",19.81,18.1,21.52
"61",3.821,2.06,5.581
"62",10.17,8.716,11.62
"63",2.4,0.0052,4.796
"64",3.535,1.144,5.927
"65",3.908,2.122,5.695
"66",12.52,11,14.04
"67",5.003,3.483,6.524
"68",13.01,11.75,14.26
"69",4.086,2.586,5.586
"70",6.345,4.735,7.956
"71",9.905,8.46,11.35
"72",14.71,13.29,16.13
"73",7.931,6.258,9.604
"74",9.889,8.195,11.58
"75",12.47,10.81,14.13
"76",9.454,7.741,11.17
"77",2.55,0.1554,4.944
"78",4.894,2.419,7.369
