"","Categorical Slope","Categorical intercept","Categorical EC50","Continuous Slope","Continuous intercept","Continuous EC50"
"dataset1",2.93043667656025,0.984129977007266,45.0528895045088,3.06303929510254,0.959522954954218,48.6373557984224
"dataset2",4.27257304947173,0.932592384948534,47.8483241552825,2.86922599156204,0.968629524604766,51.1788293295127
"dataset3",3.47626391163215,0.970189215429006,46.8365765339136,3.23730060464799,0.96407946506696,45.3080751713908
"dataset4",3.22206851351578,0.922753592612877,47.2350130859863,3.8630304893929,0.972305478785369,44.7129235308871
"dataset5",2.62862109047037,0.979763141485359,44.839381869616,3.96473552216932,0.953513887850173,46.5443627412621
"dataset6",2.52541686517774,0.985006862875617,41.0706204188951,3.63665578999865,0.944600149550002,48.2317745266019
"dataset7",2.51465922722579,0.958631038952716,49.4797701114143,3.1802212557371,0.936798463129922,42.8246451799543
"dataset8",2.19659602010077,0.967661161580345,41.707651552608,3.16087878346872,0.947748452158831,43.3905129537736
"dataset9",3.24196521503899,0.970581068697397,44.6397087508825,2.83859663118182,0.970347248194575,45.8838418597267
"dataset10",3.74755395909132,0.901774652165698,48.0267032939502,3.77764026805971,0.926354226537805,48.9115280143741
"dataset11",3.99005598008464,0.953686878518776,42.6308819446708,3.58809238689097,0.92380720188293,45.7774889631617
"dataset12",3.1993530675285,0.916497199658988,47.0370806946984,3.76542212117712,0.98172600413304,39.3795064898972
"dataset13",3.61733984581015,0.985274703460146,42.5902777817544,3.41155486116953,0.963808318508523,47.5057496401945
"dataset14",2.22779654924718,0.947574658090982,43.3432963664726,2.91882474338041,0.958544453153712,39.9213548694411
"dataset15",4.01490387406136,0.936493934017373,53.3942990047557,2.5434167200687,0.931728767349009,45.7205128928825
"dataset16",4.21653864474446,0.942036707141981,46.4225530738926,4.11575363762229,0.963375203079411,37.8731936437216
"dataset17",3.29799920142097,0.96900308923695,45.9451358721102,2.88680900594224,0.957121998467126,43.3415772159088
"dataset18",3.23300542387442,0.935235768393962,40.9766096586826,9.91210763555552,0.942866107040853,51.5952899268049
"dataset19",2.72266407520384,0.959421018267255,42.1816298891267,3.33214230843139,0.937747550943522,41.507317431253
"dataset20",3.85842085575259,0.989061434860798,44.1231380123476,4.66090311936322,0.936045406963985,46.9077615005003
"dataset21",3.3578052987261,0.971516981851523,47.8091423259302,4.47834385921457,0.932486949124945,40.897665642746
"dataset22",3.55519382231592,0.957365685950515,47.6025065366292,3.28681359806354,0.957175399333443,48.7844082313728
"dataset23",3.48044017178666,0.952587061330874,41.7574038976529,2.80954802596828,0.969102704723804,41.6540597131222
"dataset24",4.25531206468185,0.885506852021568,57.6578726941878,2.47742795417945,0.94467763299717,42.5406374318772
"dataset25",3.05065135356084,0.952674162051323,42.9080459439705,2.15443805973234,1.52800400633454,26.6413759168731
"dataset26",2.85010173005468,0.950094258225799,46.7605273472203,2.70496340948508,0.94770194446877,42.8015569370506
"dataset27",4.35282869630406,0.92235661023933,48.2690387231247,3.01543596332547,0.960244279943441,47.3298134308851
"dataset28",2.40737703778196,0.971177305754108,43.0386811545559,2.08614543478563,1.00799920739182,41.023347899328
"dataset29",3.70741340091089,0.929786103023364,59.1227072742388,5.00130950697018,0.974571290421152,44.1639754428406
"dataset30",3.51985124826558,0.977199056904444,36.9220746447172,4.36004257248213,0.949102570179813,40.6383293825315
"dataset31",2.94849591298909,0.953127969410228,51.09641966065,3.51016726219642,0.957967046689917,41.6678313959439
"dataset32",2.89144009414574,0.975239709148364,41.05318753693,3.18624434884903,0.957536886491446,48.8349328876671
"dataset33",2.63627740983924,0.932577759787893,52.5943136256584,1.79998730504938,0.964854719643291,49.6148402582239
